"billing_log_recid","Open/Closed","Invoice","Ticket #","Company Name","Customer PO","Invoice Total","Date","Status","Invoice Type","Project / Phase","Sales Order #","Location","Department","Internal Notes","GL","Routed To","Down Payment Applied","Credit Amount","Paid Amount","Date Paid","Agreement Type","Bill To","Invoice Balance","Site","Invoice Delivery","Tax Code","Account ID","Due Date","Invoice Reference","Service Total","Expense Total","Product Total","Sales Tax","Unbatched","Billing Terms","Pending Application","Procurement Needed","Partner Name","Sales Rep.","Business Development?"
"33983","Closed","33149","","ABEDI Inc.","Monthly Managed Services","1500.00","06/01/2026 12:00 am","Closed - Emailed","Agreement","","","Corporate","Managed Services","","N","EWolf","0.00","0.00","0.00","","Managed Services","ABEDI Inc.","1500.00","Tustin","E-Mail","Avatax","ABEDI","06/01/2026 12:00 am","Monthly Billing for June","0.00","0.00","1500.00","0.00","False","Due Upon Receipt","False","","","",""
"33984","Closed","33150","","Alameda Structural Inc","Monthly Managed Services","510.00","06/01/2026 12:00 am","Closed - Emailed","Agreement","","","Corporate","Managed Services","","N","EWolf","0.00","0.00","0.00","","Managed Services","Alameda Structural Inc","510.00","Main","E-Mail","Avatax","Alameda Structural Inc","06/01/2026 12:00 am","Monthly Billing for June","0.00","0.00","510.00","0.00","False","Due Upon Receipt","False","","","",""
"34083","Closed","33206","","Amelia Newcomb Dressage","Monthly Managed Services","2500.00","06/01/2026 12:00 am","Closed - Emailed","Agreement","","","Corporate","Managed Services","","N","EWolf","0.00","0.00","0.00","","Managed Services","Amelia Newcomb Dressage","2500.00","Main","E-Mail","Avatax","Amelia Newcomb Dressage","06/01/2026 12:00 am","Monthly Billing for June","0.00","0.00","2500.00","0.00","False","Due Upon Receipt","False","false","","","false"
"34102","Closed","33220","","Autism Behavioral Health","Monthly Managed Services","640.25","06/01/2026 12:00 am","Closed - Emailed","Agreement","","","Corporate","Managed Services","","N","EWolf","0.00","0.00","0.00","","Managed Services","Autism Behavioral Health","640.25","Main (NEW)","E-Mail","Avatax","Autism Behavioral Health (ABH)","06/01/2026 12:00 am","Monthly Billing for June","0.00","0.00","635.62","4.63","False","Due Upon Receipt","False","","","",""
"33985","Closed","33151","","Autism Systems LLC","Monthly Managed Services","3650.00","06/01/2026 12:00 am","Closed - Emailed","Agreement","","","Corporate","Managed Services","","N","EWolf","0.00","0.00","0.00","","Managed Services","Autism Systems LLC","3650.00","Main - Corporate Location","E-Mail","Avatax","Autism Systems, LLC","06/01/2026 12:00 am","Monthly Billing for June","0.00","0.00","3650.00","0.00","False","Due Upon Receipt","False","","","",""
"33986","Closed","33152","","Banc Consulting Partners","Monthly Managed Services","990.00","06/01/2026 12:00 am","Closed - Emailed","Agreement","","","Corporate","Managed Services","","N","EWolf","0.00","0.00","0.00","","Managed Services","Banc Consulting Partners","990.00","Main","E-Mail","Avatax","Banc Consulting Partner","06/01/2026 12:00 am","Monthly Billing for June","0.00","0.00","990.00","0.00","False","Due Upon Receipt","False","","","",""
"33987","Closed","33153","","BLN Property Management","Monthly Managed Services","90.00","06/01/2026 12:00 am","Closed - Emailed","Agreement","","","Corporate","Managed Services","","N","EWolf","0.00","0.00","0.00","","Managed Services","BLN Property Management","90.00","Main","E-Mail","Avatax","BLN Property","06/01/2026 12:00 am","Monthly Billing for June","0.00","0.00","90.00","0.00","False","Due Upon Receipt","False","","","",""
"33988","Closed","33154","","Blue Ocean Barns","Monthly Managed Services","2315.00","06/01/2026 12:00 am","Closed - Emailed","Agreement","","","Corporate","Managed Services","","N","EWolf","0.00","0.00","0.00","","Managed Services","Blue Ocean Barns","2315.00","NOT ACTIVE - Nelha - default shipping address","E-Mail","Avatax","Blue Ocean Barns","06/01/2026 12:00 am","Monthly Billing for June","0.00","0.00","2315.00","0.00","False","Due Upon Receipt","False","","","",""
"33989","Closed","33155","","Bunzl","Monthly Managed Services - #BZ14","25475.09","06/01/2026 12:00 am","No Past Due Notices Sent","Agreement","","","Corporate","Managed Services","","N","EWolf","0.00","0.00","0.00","","Managed Services","Bunzl","25475.09","Main","E-Mail","Avatax","Bunzl","07/01/2026 12:00 am","Monthly Billing for June","0.00","0.00","25475.09","0.00","False","Net 30 days","False","","","",""
"33990","Closed","33156","","Chadmar","Monthly Managed Services","819.09","06/01/2026 12:00 am","Closed - Emailed","Agreement","","","Corporate","Managed Services","","N","EWolf","0.00","0.00","0.00","","Managed Services","Chadmar","819.09","Main","E-Mail","Avatax","Chadmar","06/01/2026 12:00 am","Monthly Billing for June","0.00","0.00","805.10","13.99","False","Due Upon Receipt","False","","","",""
"33991","Closed","33157","","Cloudburst Misting Systems","Monthly Managed Services","637.81","06/01/2026 12:00 am","Closed - Emailed","Agreement","","","Corporate","Managed Services","","N","EWolf","0.00","0.00","0.00","","Managed Services","Cloudburst Misting Systems","637.81","Main","E-Mail","Avatax","Cloudburst Misting Systems, Inc","06/01/2026 12:00 am","Monthly Billing for June","0.00","0.00","635.50","2.31","False","Due Upon Receipt","False","","","",""
"33992","Closed","33158","","Connecting Dot By Dot","Monthly Managed Services","360.00","06/01/2026 12:00 am","Closed - Emailed","Agreement","","","Corporate","Managed Services","","N","EWolf","0.00","0.00","360.00","05/05/2026 8:34 pm","Managed Services","Connecting Dot By Dot","0.00","Main","E-Mail","Avatax","Connecting Dot by Dot","06/01/2026 12:00 am","Monthly Billing for June","0.00","0.00","360.00","0.00","False","Due Upon Receipt","False","","","",""
"34096","Closed","33214","","Cool Pak - Bunzl","Monthly Managed Services - #BZ15","17545.16","06/01/2026 12:00 am","No Past Due Notices Sent","Agreement","","","Corporate","Managed Services","","N","EWolf","0.00","0.00","0.00","","Managed Services","Cool Pak - Bunzl","17545.16","Main - Bunzl Main","E-Mail","Avatax","Cool Pak, LLC","06/01/2026 12:00 am","Monthly Billing for June","0.00","0.00","17516.30","28.86","False","Due Upon Receipt","False","false","","","false"
"33993","Closed","33159","","Cordova Safety - Bunzl","Monthly Managed Services - Contract #BZ17","7541.95","06/01/2026 12:00 am","No Past Due Notices Sent","Agreement","","","Corporate","Managed Services","","N","EWolf","0.00","0.00","0.00","","Managed Services","Bunzl","7541.95","Main","E-Mail","Avatax","Cordova","06/01/2026 12:00 am","Monthly Billing for June","0.00","0.00","7532.00","9.95","False","Due Upon Receipt","False","","","",""
"33994","Closed","33160","","Crossroads Community Church","Monthly Managed Services","900.00","06/01/2026 12:00 am","Closed - Emailed","Agreement","","","Corporate","Managed Services","","N","EWolf","0.00","0.00","0.00","","Managed Services","Crossroads Community Church","900.00","Main","E-Mail","Avatax","Crossroads Community Church","06/01/2026 12:00 am","Monthly Billing for June","0.00","0.00","900.00","0.00","False","Due Upon Receipt","False","","","",""
"33995","Closed","33161","","CVG Wealth Management","Monthly Managed Services","600.00","06/01/2026 12:00 am","Closed - Emailed","Agreement","","","Corporate","Managed Services","","N","EWolf","0.00","0.00","0.00","","Managed Services","CVG Wealth Management","600.00","Texas Address","E-Mail","Avatax","CVG Wealth Management","06/01/2026 12:00 am","Monthly Billing for June","0.00","0.00","600.00","0.00","False","Due Upon Receipt","False","","","",""
"33996","Closed","33162","","CWS Investments Inc","Monthly Managed Services","845.00","06/01/2026 12:00 am","No Past Due Notices Sent","Agreement","","","Corporate","Managed Services","","N","EWolf","0.00","0.00","0.00","","Managed Services","CWS Investments Inc","845.00","Chris Seveney Home Address","E-Mail","Avatax","CWS Investments Inc","06/01/2026 12:00 am","Monthly Billing for June","0.00","0.00","845.00","0.00","False","Due Upon Receipt","False","","","",""
"33997","Closed","33163","","Daigh Rick Landscape Architects, LLC","Monthly Managed Services","235.43","06/01/2026 12:00 am","Closed - Emailed","Agreement","","","Corporate","Managed Services","","N","EWolf","0.00","0.00","235.43","05/04/2026 11:27 am","Managed Services","Daigh Rick Landscape Architects, LLC","0.00","Main","E-Mail","Avatax","Anne Daigh Landscape Architect","06/01/2026 12:00 am","Monthly Billing for June","0.00","0.00","232.28","3.15","False","Due Upon Receipt","False","false","","","false"
"33998","Closed","33164","","Designated Broker Solutions","Monthly Managed Services","1439.22","06/01/2026 12:00 am","Closed - Emailed","Agreement","","","Corporate","Managed Services","","N","EWolf","0.00","0.00","0.00","","Managed Services","Designated Broker Solutions","1439.22","Main","E-Mail","Avatax","Designated Broker Solutions","06/01/2026 12:00 am","Monthly Billing for June","0.00","0.00","1410.00","29.22","False","Due Upon Receipt","False","","","",""
"33999","Closed","33165","","Donnelly & Moore Inc","Monthly Managed Services","550.00","06/01/2026 12:00 am","Closed - Emailed","Agreement","","","Corporate","Managed Services","","N","EWolf","0.00","0.00","0.00","","Managed Services","Donnelly & Moore Inc","550.00","Main","E-Mail","Avatax","Donnelly & Moore Inc","06/01/2026 12:00 am","Monthly Billing for June","0.00","0.00","550.00","0.00","False","Due Upon Receipt","False","","","",""
"34000","Closed","33166","","Drapery Affair","Monthly Managed Services","790.73","06/01/2026 12:00 am","Closed - Emailed","Agreement","","","Corporate","Managed Services","","N","EWolf","0.00","0.00","0.00","","Managed Services","Drapery Affair","790.73","Main","E-Mail","Avatax","Drapery Affair","06/01/2026 12:00 am","Monthly Billing for June","0.00","0.00","788.79","1.94","False","Due Upon Receipt","False","","","",""
